Datum;Liga;Typ;Runde;Heim;Gast;Heim_Link;Gast_Link;Spielort_Name;Adresse;Latitude;Longitude;Quelle;link;error
2025-08-03 17:00:00;ADMIRAL Bundesliga - Grunddurchgang;Mann;1. Runde;SK Rapid;FC Blau Weiss Linz;https://vereine.oefb.at/SKRapidWien/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/FcBlauWeissLinz/Mannschaften/Saison-2025-26/KM/Kader/;Allianz Stadion;Gerhard Hanappi Platz 1, 1140 Wien;48.197339;16.265628;https://www.oefb.at/bewerbe/Spiel/3865866/?SK-Rapid-vs-FC-Blau-Weiss-Linz;https://www.oefb.at/bewerbe/Spiel/3865866/?SK-Rapid-vs-FC-Blau-Weiss-Linz;
2025-08-02 17:00:00;ADMIRAL Bundesliga - Grunddurchgang;Mann;1. Runde;WSG Tirol;TSV Egger Glas Hartberg;https://vereine.oefb.at/WsgSwarovskiWattens/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/TsvHartberg/Mannschaften/Saison-2025-26/KM/Kader/;Tivoli Stadion Tirol;Stadionstrasse 1b, 6020 Innsbruck, A12 Inntalautobahn, Abfahrt Innsbruck-Mitte. Beim Kreisverkehr Richtung Innsbruck-Zentrum und nach 350m links abbiegen zur (kostenpflichtigen) Tivoli-Parkgarage.;47.25593196573788;11.41129732131958;https://www.oefb.at/bewerbe/Spiel/3865848/?WSG-Tirol-vs-TSV-Egger-Glas-Hartberg;https://www.oefb.at/bewerbe/Spiel/3865848/?WSG-Tirol-vs-TSV-Egger-Glas-Hartberg;
2025-08-03 17:00:00;ADMIRAL Bundesliga - Grunddurchgang;Mann;1. Runde;Grazer AK 1902;FK Austria Wien;https://vereine.oefb.at/GAK1902/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/FK_Austria_Wien/Mannschaften/Saison-2025-26/KM/Kader/;Merkur Arena;Stadionplatz 1, 8010 Graz;47.0463381096061;15.4547864198685;https://www.oefb.at/bewerbe/Spiel/3865885/?Grazer-AK-1902-vs-FK-Austria-Wien;https://www.oefb.at/bewerbe/Spiel/3865885/?Grazer-AK-1902-vs-FK-Austria-Wien;
2025-08-01 20:30:00;ADMIRAL Bundesliga - Grunddurchgang;Mann;1. Runde;LASK;SK Puntigamer Sturm Graz;https://vereine.oefb.at/LASK/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/SkSturmGraz/Mannschaften/Saison-2025-26/KM/Kader/;Raiffeisen Arena Linz;Helmut-Köglberger-Platz 1, 4020 Linz, Im Umfeld der Raiffeisen Arena stehen keine weiteren Parkplätze zur Verfügung. Daher ist für die Anreise unbedingt auf die öffentlichen Verkehrsmittel der LINZ AG Linien zurückzugreifen. Die LINZ AG Linien fungieren als Mobilitätspartner des LASK und verstärken an Spieltagen die Taktung zentraler Buslinien. Im Linzer Stadtgebiet stehen jenen LASK-Fans, die mit dem Auto nach Linz anreisen, rund 1300 Garagen-Stellplätze zum vergünstigten Sondertarif von EUR 3,20 zur Verfügung. Der Sondertarif gilt ab drei Stunden vor Spielbeginn bis 5 Uhr früh am Folgetag und wird beim Bezahlen vor der Ausfahrt automatisch angewandt. In folgenden Garagen gibt’s den Sondertarif: - Garage am Bahnhof (Bahnhofsstraße 4-6) - Raiffeisen Garage Südbahnhof (Khevenhüllerstraße 6-10) - City Parkhaus (Betlehemstraße 12) - Garage im Zentrum (Dametzstraße 34-36) - Elisabeth Garage (Elisabethstraße 2);48.29341563191338;14.276776313781738;https://www.oefb.at/bewerbe/Spiel/3865883/?LASK-vs-SK-Puntigamer-Sturm-Graz;https://www.oefb.at/bewerbe/Spiel/3865883/?LASK-vs-SK-Puntigamer-Sturm-Graz;
2025-08-09 17:00:00;ADMIRAL Bundesliga - Grunddurchgang;Mann;2. Runde;FC Blau Weiss Linz;TSV Egger Glas Hartberg;https://vereine.oefb.at/FcBlauWeissLinz/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/TsvHartberg/Mannschaften/Saison-2025-26/KM/Kader/;Hofmann Personal Stadion;Straßerau 3, 4020 Linz, Google-Maps : https://goo.gl/maps/ReOYM;48.316542;14.2997541;https://www.oefb.at/bewerbe/Spiel/3865816/?FC-Blau-Weiss-Linz-vs-TSV-Egger-Glas-Hartberg;https://www.oefb.at/bewerbe/Spiel/3865816/?FC-Blau-Weiss-Linz-vs-TSV-Egger-Glas-Hartberg;
2025-08-02 19:30:00;ADMIRAL Bundesliga - Grunddurchgang;Mann;1. Runde;SV Oberbank Ried;FC Red Bull Salzburg;https://vereine.oefb.at/SVOberbankRied/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/FcRedBullSalzburg/Mannschaften/Saison-2025-26/KM/Kader/;BWT Oberösterreichische Arena;Volksfestplatz 2, 4910 Ried im Innkreis;48.207801362027205;13.47872257232666;https://www.oefb.at/bewerbe/Spiel/3865787/?SV-Oberbank-Ried-vs-FC-Red-Bull-Salzburg;https://www.oefb.at/bewerbe/Spiel/3865787/?SV-Oberbank-Ried-vs-FC-Red-Bull-Salzburg;
2025-08-10 17:00:00;ADMIRAL Bundesliga - Grunddurchgang;Mann;2. Runde;WSG Tirol;LASK;https://vereine.oefb.at/WsgSwarovskiWattens/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/LASK/Mannschaften/Saison-2025-26/KM/Kader/;Tivoli Stadion Tirol;Stadionstrasse 1b, 6020 Innsbruck, A12 Inntalautobahn, Abfahrt Innsbruck-Mitte. Beim Kreisverkehr Richtung Innsbruck-Zentrum und nach 350m links abbiegen zur (kostenpflichtigen) Tivoli-Parkgarage.;47.25593196573788;11.41129732131958;https://www.oefb.at/bewerbe/Spiel/3865808/?WSG-Tirol-vs-LASK;https://www.oefb.at/bewerbe/Spiel/3865808/?WSG-Tirol-vs-LASK;
2025-08-09 19:30:00;ADMIRAL Bundesliga - Grunddurchgang;Mann;2. Runde;FC Red Bull Salzburg;Grazer AK 1902;https://vereine.oefb.at/FcRedBullSalzburg/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/GAK1902/Mannschaften/Saison-2025-26/KM/Kader/;Red Bull Arena;Stadionstraße 2-3, 5071 Wals-Siezenheim;47.816963;12.997634;https://www.oefb.at/bewerbe/Spiel/3865877/?FC-Red-Bull-Salzburg-vs-Grazer-AK-1902;https://www.oefb.at/bewerbe/Spiel/3865877/?FC-Red-Bull-Salzburg-vs-Grazer-AK-1902;
2025-08-09 17:00:00;ADMIRAL Bundesliga - Grunddurchgang;Mann;2. Runde;SCR Altach;SV Oberbank Ried;https://vereine.oefb.at/ScrAltach/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/SVOberbankRied/Mannschaften/Saison-2025-26/KM/Kader/;Stadion Schnabelholz;Schnabelholz 1, 6844 Altach;47.353485;9.635794;https://www.oefb.at/bewerbe/Spiel/3865840/?SCR-Altach-vs-SV-Oberbank-Ried;https://www.oefb.at/bewerbe/Spiel/3865840/?SCR-Altach-vs-SV-Oberbank-Ried;
2025-08-02 17:00:00;ADMIRAL Bundesliga - Grunddurchgang;Mann;1. Runde;RZ Pellets WAC;SCR Altach;https://vereine.oefb.at/RzPelletsWac/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/ScrAltach/Mannschaften/Saison-2025-26/KM/Kader/;Lavanttal-Arena Wolfsberg;Don-Bosco-Weg 1, 9400 Wolfsberg;46.8251237;14.8501674;https://www.oefb.at/bewerbe/Spiel/3865875/?RZ-Pellets-WAC-vs-SCR-Altach;https://www.oefb.at/bewerbe/Spiel/3865875/?RZ-Pellets-WAC-vs-SCR-Altach;
2025-08-10 17:00:00;ADMIRAL Bundesliga - Grunddurchgang;Mann;2. Runde;FK Austria Wien;RZ Pellets WAC;https://vereine.oefb.at/FK_Austria_Wien/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/RzPelletsWac/Mannschaften/Saison-2025-26/KM/Kader/;GENERALI-Arena;Horrplatz 1, 1100 Wien;48.1611885;16.3883313;https://www.oefb.at/bewerbe/Spiel/3865881/?FK-Austria-Wien-vs-RZ-Pellets-WAC;https://www.oefb.at/bewerbe/Spiel/3865881/?FK-Austria-Wien-vs-RZ-Pellets-WAC;
2025-08-16 17:00:00;ADMIRAL Bundesliga - Grunddurchgang;Mann;3. Runde;TSV Egger Glas Hartberg;FC Red Bull Salzburg;https://vereine.oefb.at/TsvHartberg/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/FcRedBullSalzburg/Mannschaften/Saison-2025-26/KM/Kader/;DATENPOL ARENA;Johann Steinböck Strasse 5, 2344 Maria Enzersdorf, Mit dem Auto über die Südautobahn A2 aus Richtung Wien oder Graz: Bei der Ausfahrt Mödling, Shopping City Süd (Exit 7) von der Autobahn abfahren und den Wegweisern zum Stadion folgen. Bei der ersten Ampel nach der Ausfahrt nach rechts auf die B17 in Richtung Wien abbiegen. Bei der Ampel vor dem XXXLutz nach links auf die B12a abbiegen. Beim nächsten Kreisverkehr über die beschilderte Ausfahrt in die Johann Steinböck Straße zum Stadion fahren. Mit dem Auto über die Außenringautobahn A21 aus Richtung St. Pölten: Bei der Ausfahrt Brunn am Gebirge (Exit 36) von der Autobahn abfahren und den Wegweisern in Richtung Mödling, Maria Enzersdorf nach rechts folgen. Bei der ersten Ampel geradeaus weiter auf die B12a fahren. Bei den nächsten zwei Kreisverkehren jeweils die beschilderte Ausfahrt zum Stadion wählen und in die Johann Steinböck Straße zum Stadion fahren. Mit dem Auto über die Bundesstraße B17 aus Richtung Wien oder Wiener Neustadt: Bei der Ampel beim XXXLutz aus Richtung Wien nach rechts und aus Richtung Wiener Neustadt nach links auf die B12a abbiegen. Beim nächsten Kreisverkehr über die beschilderte Ausfahrt in die Johann Steinböck Straße zum Stadion fahren. Adresse: Johann Steinböck Straße 5b 2344 Maria Enzersdorf Tel.: 02236 / 48710-0;48.098208;16.310427;https://www.oefb.at/bewerbe/Spiel/3865905/?TSV-Egger-Glas-Hartberg-vs-FC-Red-Bull-Salzburg;https://www.oefb.at/bewerbe/Spiel/3865905/?TSV-Egger-Glas-Hartberg-vs-FC-Red-Bull-Salzburg;
2025-08-16 17:00:00;ADMIRAL Bundesliga - Grunddurchgang;Mann;3. Runde;Grazer AK 1902;WSG Tirol;https://vereine.oefb.at/GAK1902/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/WsgSwarovskiWattens/Mannschaften/Saison-2025-26/KM/Kader/;Merkur Arena;Stadionplatz 1, 8010 Graz;47.0463381096061;15.4547864198685;https://www.oefb.at/bewerbe/Spiel/3865823/?Grazer-AK-1902-vs-WSG-Tirol;https://www.oefb.at/bewerbe/Spiel/3865823/?Grazer-AK-1902-vs-WSG-Tirol;
2025-08-10 17:00:00;ADMIRAL Bundesliga - Grunddurchgang;Mann;2. Runde;SK Puntigamer Sturm Graz;SK Rapid;https://vereine.oefb.at/SkSturmGraz/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/SKRapidWien/Mannschaften/Saison-2025-26/KM/Kader/;Merkur Arena;Stadionplatz 1, 8010 Graz;47.0463381096061;15.4547864198685;https://www.oefb.at/bewerbe/Spiel/3865802/?SK-Puntigamer-Sturm-Graz-vs-SK-Rapid;https://www.oefb.at/bewerbe/Spiel/3865802/?SK-Puntigamer-Sturm-Graz-vs-SK-Rapid;
