verband;bewerb;liga;link
Wiener Fußballverband;Bundesliga;ADMIRAL Bundesliga - Grunddurchgang;https://wfv.at/wfv/Bewerb/232246?ADMIRAL-Bundesliga-Grunddurchgang
Wiener Fußballverband;Bundesliga;ADMIRAL 2. Liga;https://wfv.at/wfv/Bewerb/232245?ADMIRAL-2-Liga
Wiener Fußballverband;Regionalligen;Regionalliga Ost;https://wfv.at/wfv/Bewerb/231974?Regionalliga-Ost
Wiener Fußballverband;Regionalligen;Regionalliga Nord;https://wfv.at/wfv/Bewerb/232371?Regionalliga-Nord
Wiener Fußballverband;Regionalligen;Regionalliga West;https://wfv.at/wfv/Bewerb/232368?Regionalliga-West
Wiener Fußballverband;Regionalligen;Regionalliga Süd Stmk;https://wfv.at/wfv/Bewerb/231530?Regionalliga-Sued-Stmk
Wiener Fußballverband;Regionalligen;Regionalliga Süd Kärnten;https://wfv.at/wfv/Bewerb/231655?Regionalliga-Sued
Wiener Fußballverband;Wiener Stadtliga;Wiener Stadtliga;https://wfv.at/wfv/Bewerb/231940?Wiener-Stadtliga
Wiener Fußballverband;Wiener Stadtliga;Wiener Stadtliga U23;https://wfv.at/wfv/Bewerb/232585?Wiener-Stadtliga-U23
Wiener Fußballverband;2. Landesliga;2. Landesliga;https://wfv.at/wfv/Bewerb/231867?2-Landesliga
Wiener Fußballverband;2. Landesliga;2. Landesliga U23;https://wfv.at/wfv/Bewerb/232584?2-Landesliga-U23
Wiener Fußballverband;Oberliga;Oberliga A;https://wfv.at/wfv/Bewerb/231846?Oberliga-A
Wiener Fußballverband;Oberliga;Oberliga B;https://wfv.at/wfv/Bewerb/231885?Oberliga-B
Wiener Fußballverband;Oberliga;Oberliga A Reserve;https://wfv.at/wfv/Bewerb/232726?Oberliga-A-Reserve
Wiener Fußballverband;Oberliga;Oberliga B Reserve;https://wfv.at/wfv/Bewerb/232727?Oberliga-B-Reserve
Wiener Fußballverband;1. Klasse;1. Klasse A;https://wfv.at/wfv/Bewerb/231863?1-Klasse-A
Wiener Fußballverband;1. Klasse;1. Klasse B;https://wfv.at/wfv/Bewerb/231880?1-Klasse-B
Wiener Fußballverband;1. Klasse;1.Klasse A Reserve;https://wfv.at/wfv/Bewerb/232728?1-Klasse-A-Reserve
